     count_list      y_history   x[0]_history   x[1]_history  dx[0]_history  dx[1]_history
            110    3.22464e-03    1.04015e+00    5.40154e-01   -1.06111e-03   -1.06111e-03
            111    3.05646e-03    1.03909e+00    5.39093e-01   -1.03318e-03   -1.03318e-03
            112    2.89704e-03    1.03806e+00    5.38059e-01   -1.00598e-03   -1.00598e-03
            113    2.74592e-03    1.03705e+00    5.37053e-01   -9.79493e-04   -9.79493e-04
            114    2.60266e-03    1.03607e+00    5.36074e-01   -9.53692e-04   -9.53692e-04
            115    2.46687e-03    1.03512e+00    5.35120e-01   -9.28563e-04   -9.28563e-04
            116    2.33814e-03    1.03419e+00    5.34192e-01   -9.04090e-04   -9.04090e-04
            117    2.21613e-03    1.03329e+00    5.33288e-01   -8.80256e-04   -8.80256e-04
            118    2.10047e-03    1.03241e+00    5.32407e-01   -8.57045e-04   -8.57045e-04
            119    1.99084e-03    1.03155e+00    5.31550e-01   -8.34441e-04   -8.34441e-04
            120    1.88693e-03    1.03072e+00    5.30716e-01   -8.12429e-04   -8.12429e-04
            121    1.78843e-03    1.02990e+00    5.29903e-01   -7.90993e-04   -7.90993e-04
            122    1.69507e-03    1.02911e+00    5.29112e-01   -7.70119e-04   -7.70119e-04
            123    1.60657e-03    1.02834e+00    5.28342e-01   -7.49791e-04   -7.49791e-04
            124    1.52270e-03    1.02759e+00    5.27593e-01   -7.29997e-04   -7.29997e-04
            125    1.44319e-03    1.02686e+00    5.26863e-01   -7.10723e-04   -7.10723e-04
            126    1.36783e-03    1.02615e+00    5.26152e-01   -6.91954e-04   -6.91954e-04
            127    1.29641e-03    1.02546e+00    5.25460e-01   -6.73678e-04   -6.73678e-04
            128    1.22871e-03    1.02479e+00    5.24786e-01   -6.55883e-04   -6.55883e-04
            129    1.16454e-03    1.02413e+00    5.24130e-01   -6.38555e-04   -6.38555e-04
            130    1.10372e-03    1.02349e+00    5.23492e-01   -6.21683e-04   -6.21683e-04
            131    1.04608e-03    1.02287e+00    5.22870e-01   -6.05255e-04   -6.05255e-04
            132    9.91443e-04    1.02226e+00    5.22265e-01   -5.89259e-04   -5.89259e-04
            133    9.39658e-04    1.02168e+00    5.21676e-01   -5.73684e-04   -5.73684e-04
            134    8.90577e-04    1.02110e+00    5.21102e-01   -5.58520e-04   -5.58520e-04
            135    8.44058e-04    1.02054e+00    5.20543e-01   -5.43754e-04   -5.43754e-04
            136    7.99967e-04    1.02000e+00    5.20000e-01   -5.29378e-04   -5.29378e-04
            137    7.58178e-04    1.01947e+00    5.19470e-01   -5.15381e-04   -5.15381e-04
            138    7.18571e-04    1.01895e+00    5.18955e-01   -5.01752e-04   -5.01752e-04
            139    6.81032e-04    1.01845e+00    5.18453e-01   -4.88483e-04   -4.88483e-04
            140    6.45453e-04    1.01796e+00    5.17965e-01   -4.75564e-04   -4.75564e-04
            141    6.11732e-04    1.01749e+00    5.17489e-01   -4.62986e-04   -4.62986e-04
            142    5.79772e-04    1.01703e+00    5.17026e-01   -4.50739e-04   -4.50739e-04
            143    5.49481e-04    1.01658e+00    5.16575e-01   -4.38816e-04   -4.38816e-04
            144    5.20772e-04    1.01614e+00    5.16136e-01   -4.27207e-04   -4.27207e-04
            145    4.93563e-04    1.01571e+00    5.15709e-01   -4.15905e-04   -4.15905e-04
            146    4.67775e-04    1.01529e+00    5.15293e-01   -4.04901e-04   -4.04901e-04
            147    4.43333e-04    1.01489e+00    5.14888e-01   -3.94188e-04   -3.94188e-04
            148    4.20169e-04    1.01449e+00    5.14494e-01   -3.83758e-04   -3.83758e-04
            149    3.98214e-04    1.01411e+00    5.14111e-01   -3.73603e-04   -3.73603e-04
            150    3.77406e-04    1.01374e+00    5.13737e-01   -3.63717e-04   -3.63717e-04
            151    3.57685e-04    1.01337e+00    5.13373e-01   -3.54091e-04   -3.54091e-04
            152    3.38995e-04    1.01302e+00    5.13019e-01   -3.44721e-04   -3.44721e-04
            153    3.21281e-04    1.01267e+00    5.12674e-01   -3.35597e-04   -3.35597e-04
            154    3.04492e-04    1.01234e+00    5.12339e-01   -3.26715e-04   -3.26715e-04
            155    2.88580e-04    1.01201e+00    5.12012e-01   -3.18068e-04   -3.18068e-04
            156    2.73500e-04    1.01169e+00    5.11694e-01   -3.09649e-04   -3.09649e-04
            157    2.59208e-04    1.01138e+00    5.11384e-01   -3.01453e-04   -3.01453e-04
            158    2.45662e-04    1.01108e+00    5.11083e-01   -2.93473e-04   -2.93473e-04
            159    2.32824e-04    1.01079e+00    5.10789e-01   -2.85705e-04   -2.85705e-04
            160    2.20657e-04    1.01050e+00    5.10504e-01   -2.78142e-04   -2.78142e-04
            161    2.09126e-04    1.01023e+00    5.10226e-01   -2.70779e-04   -2.70779e-04
            162    1.98197e-04    1.00995e+00    5.09955e-01   -2.63611e-04   -2.63611e-04
            163    1.87839e-04    1.00969e+00    5.09691e-01   -2.56632e-04   -2.56632e-04
            164    1.78022e-04    1.00943e+00    5.09435e-01   -2.49838e-04   -2.49838e-04
            165    1.68719e-04    1.00918e+00    5.09185e-01   -2.43224e-04   -2.43224e-04
            166    1.59901e-04    1.00894e+00    5.08942e-01   -2.36784e-04   -2.36784e-04
            167    1.51545e-04    1.00870e+00    5.08705e-01   -2.30515e-04   -2.30515e-04
            168    1.43624e-04    1.00847e+00    5.08474e-01   -2.24412e-04   -2.24412e-04
            169    1.36118e-04    1.00825e+00    5.08250e-01   -2.18471e-04   -2.18471e-04
            170    1.29004e-04    1.00803e+00    5.08031e-01   -2.12686e-04   -2.12686e-04
            171    1.22262e-04    1.00782e+00    5.07819e-01   -2.07055e-04   -2.07055e-04
            172    1.15873e-04    1.00761e+00    5.07612e-01   -2.01573e-04   -2.01573e-04
            173    1.09817e-04    1.00741e+00    5.07410e-01   -1.96235e-04   -1.96235e-04
            174    1.04077e-04    1.00721e+00    5.07214e-01   -1.91039e-04   -1.91039e-04
            175    9.86378e-05    1.00702e+00    5.07023e-01   -1.85981e-04   -1.85981e-04
            176    9.34825e-05    1.00684e+00    5.06837e-01   -1.81056e-04   -1.81056e-04
            177    8.85968e-05    1.00666e+00    5.06656e-01   -1.76262e-04   -1.76262e-04
            178    8.39663e-05    1.00648e+00    5.06479e-01   -1.71595e-04   -1.71595e-04
            179    7.95778e-05    1.00631e+00    5.06308e-01   -1.67051e-04   -1.67051e-04
            180    7.54187e-05    1.00614e+00    5.06141e-01   -1.62627e-04   -1.62627e-04
            181    7.14770e-05    1.00598e+00    5.05978e-01   -1.58321e-04   -1.58321e-04
            182    6.77412e-05    1.00582e+00    5.05820e-01   -1.54129e-04   -1.54129e-04
            183    6.42007e-05    1.00567e+00    5.05666e-01   -1.50047e-04   -1.50047e-04
            184    6.08452e-05    1.00552e+00    5.05516e-01   -1.46074e-04   -1.46074e-04
            185    5.76651e-05    1.00537e+00    5.05370e-01   -1.42206e-04   -1.42206e-04
            186    5.46512e-05    1.00523e+00    5.05227e-01   -1.38440e-04   -1.38440e-04
            187    5.17948e-05    1.00509e+00    5.05089e-01   -1.34774e-04   -1.34774e-04
            188    4.90877e-05    1.00495e+00    5.04954e-01   -1.31205e-04   -1.31205e-04
            189    4.65221e-05    1.00482e+00    5.04823e-01   -1.27730e-04   -1.27730e-04
            190    4.40906e-05    1.00470e+00    5.04695e-01   -1.24348e-04   -1.24348e-04
            191    4.17862e-05    1.00457e+00    5.04571e-01   -1.21055e-04   -1.21055e-04
            192    3.96022e-05    1.00445e+00    5.04450e-01   -1.17849e-04   -1.17849e-04
            193    3.75323e-05    1.00433e+00    5.04332e-01   -1.14728e-04   -1.14728e-04
            194    3.55706e-05    1.00422e+00    5.04217e-01   -1.11690e-04   -1.11690e-04
            195    3.37115e-05    1.00411e+00    5.04106e-01   -1.08732e-04   -1.08732e-04
            196    3.19495e-05    1.00400e+00    5.03997e-01   -1.05852e-04   -1.05852e-04
            197    3.02796e-05    1.00389e+00    5.03891e-01   -1.03049e-04   -1.03049e-04
            198    2.86970e-05    1.00379e+00    5.03788e-01   -1.00320e-04   -1.00320e-04
            199    2.71971e-05    1.00369e+00    5.03688e-01   -9.76633e-05   -9.76633e-05
            200    2.57756e-05    1.00359e+00    5.03590e-01   -9.50769e-05   -9.50769e-05
            201    2.44284e-05    1.00349e+00    5.03495e-01   -9.25590e-05   -9.25590e-05
