     count_list      y_history    x_0_history    x_1_history   dx_0_history   dx_1_history
            127    4.03075e-01    5.51071e-01    5.10707e-02    4.58081e-04    4.58081e-04
            128    4.02253e-01    5.51529e-01    5.15287e-02    4.58731e-04    4.58731e-04
            129    4.01430e-01    5.51987e-01    5.19875e-02    4.59378e-04    4.59378e-04
            130    4.00608e-01    5.52447e-01    5.24469e-02    4.60022e-04    4.60022e-04
            131    3.99785e-01    5.52907e-01    5.29069e-02    4.60663e-04    4.60663e-04
            132    3.98961e-01    5.53368e-01    5.33675e-02    4.61300e-04    4.61300e-04
            133    3.98137e-01    5.53829e-01    5.38288e-02    4.61934e-04    4.61934e-04
            134    3.97313e-01    5.54291e-01    5.42908e-02    4.62566e-04    4.62566e-04
            135    3.96489e-01    5.54753e-01    5.47533e-02    4.63194e-04    4.63194e-04
            136    3.95665e-01    5.55217e-01    5.52165e-02    4.63818e-04    4.63818e-04
            137    3.94840e-01    5.55680e-01    5.56804e-02    4.64440e-04    4.64440e-04
            138    3.94015e-01    5.56145e-01    5.61448e-02    4.65059e-04    4.65059e-04
            139    3.93190e-01    5.56610e-01    5.66099e-02    4.65675e-04    4.65675e-04
            140    3.92364e-01    5.57076e-01    5.70755e-02    4.66287e-04    4.66287e-04
            141    3.91538e-01    5.57542e-01    5.75418e-02    4.66897e-04    4.66897e-04
            142    3.90713e-01    5.58009e-01    5.80087e-02    4.67503e-04    4.67503e-04
            143    3.89887e-01    5.58476e-01    5.84762e-02    4.68107e-04    4.68107e-04
            144    3.89060e-01    5.58944e-01    5.89443e-02    4.68707e-04    4.68707e-04
            145    3.88234e-01    5.59413e-01    5.94130e-02    4.69304e-04    4.69304e-04
            146    3.87407e-01    5.59882e-01    5.98823e-02    4.69899e-04    4.69899e-04
            147    3.86580e-01    5.60352e-01    6.03522e-02    4.70490e-04    4.70490e-04
            148    3.85753e-01    5.60823e-01    6.08227e-02    4.71079e-04    4.71079e-04
            149    3.84926e-01    5.61294e-01    6.12938e-02    4.71664e-04    4.71664e-04
            150    3.84099e-01    5.61765e-01    6.17655e-02    4.72247e-04    4.72247e-04
            151    3.83272e-01    5.62238e-01    6.22377e-02    4.72826e-04    4.72826e-04
            152    3.82444e-01    5.62711e-01    6.27105e-02    4.73403e-04    4.73403e-04
            153    3.81617e-01    5.63184e-01    6.31839e-02    4.73977e-04    4.73977e-04
            154    3.80789e-01    5.63658e-01    6.36579e-02    4.74547e-04    4.74547e-04
            155    3.79961e-01    5.64132e-01    6.41325e-02    4.75115e-04    4.75115e-04
            156    3.79133e-01    5.64608e-01    6.46076e-02    4.75680e-04    4.75680e-04
            157    3.78305e-01    5.65083e-01    6.50833e-02    4.76242e-04    4.76242e-04
            158    3.77477e-01    5.65560e-01    6.55595e-02    4.76801e-04    4.76801e-04
            159    3.76649e-01    5.66036e-01    6.60363e-02    4.77358e-04    4.77358e-04
            160    3.75821e-01    5.66514e-01    6.65137e-02    4.77911e-04    4.77911e-04
            161    3.74993e-01    5.66992e-01    6.69916e-02    4.78462e-04    4.78462e-04
            162    3.74164e-01    5.67470e-01    6.74700e-02    4.79009e-04    4.79009e-04
            163    3.73336e-01    5.67949e-01    6.79490e-02    4.79554e-04    4.79554e-04
            164    3.72508e-01    5.68429e-01    6.84286e-02    4.80096e-04    4.80096e-04
            165    3.71679e-01    5.68909e-01    6.89087e-02    4.80636e-04    4.80636e-04
            166    3.70851e-01    5.69389e-01    6.93893e-02    4.81172e-04    4.81172e-04
            167    3.70023e-01    5.69871e-01    6.98705e-02    4.81706e-04    4.81706e-04
            168    3.69194e-01    5.70352e-01    7.03522e-02    4.82236e-04    4.82236e-04
            169    3.68366e-01    5.70834e-01    7.08344e-02    4.82764e-04    4.82764e-04
            170    3.67538e-01    5.71317e-01    7.13172e-02    4.83290e-04    4.83290e-04
            171    3.66710e-01    5.71800e-01    7.18005e-02    4.83812e-04    4.83812e-04
            172    3.65881e-01    5.72284e-01    7.22843e-02    4.84332e-04    4.84332e-04
            173    3.65053e-01    5.72769e-01    7.27686e-02    4.84849e-04    4.84849e-04
            174    3.64225e-01    5.73253e-01    7.32535e-02    4.85363e-04    4.85363e-04
            175    3.63397e-01    5.73739e-01    7.37389e-02    4.85875e-04    4.85875e-04
            176    3.62569e-01    5.74225e-01    7.42247e-02    4.86384e-04    4.86384e-04
            177    3.61741e-01    5.74711e-01    7.47111e-02    4.86890e-04    4.86890e-04
            178    3.60913e-01    5.75198e-01    7.51980e-02    4.87393e-04    4.87393e-04
            179    3.60086e-01    5.75685e-01    7.56854e-02    4.87894e-04    4.87894e-04
            180    3.59258e-01    5.76173e-01    7.61733e-02    4.88392e-04    4.88392e-04
            181    3.58431e-01    5.76662e-01    7.66617e-02    4.88887e-04    4.88887e-04
            182    3.57603e-01    5.77151e-01    7.71506e-02    4.89380e-04    4.89380e-04
            183    3.56776e-01    5.77640e-01    7.76399e-02    4.89870e-04    4.89870e-04
            184    3.55949e-01    5.78130e-01    7.81298e-02    4.90357e-04    4.90357e-04
            185    3.55122e-01    5.78620e-01    7.86202e-02    4.90842e-04    4.90842e-04
            186    3.54295e-01    5.79111e-01    7.91110e-02    4.91324e-04    4.91324e-04
            187    3.53468e-01    5.79602e-01    7.96023e-02    4.91803e-04    4.91803e-04
            188    3.52642e-01    5.80094e-01    8.00941e-02    4.92280e-04    4.92280e-04
            189    3.51815e-01    5.80586e-01    8.05864e-02    4.92754e-04    4.92754e-04
            190    3.50989e-01    5.81079e-01    8.10792e-02    4.93225e-04    4.93225e-04
            191    3.50163e-01    5.81572e-01    8.15724e-02    4.93694e-04    4.93694e-04
            192    3.49337e-01    5.82066e-01    8.20661e-02    4.94160e-04    4.94160e-04
            193    3.48512e-01    5.82560e-01    8.25603e-02    4.94624e-04    4.94624e-04
            194    3.47686e-01    5.83055e-01    8.30549e-02    4.95085e-04    4.95085e-04
            195    3.46861e-01    5.83550e-01    8.35500e-02    4.95544e-04    4.95544e-04
            196    3.46036e-01    5.84046e-01    8.40455e-02    4.96000e-04    4.96000e-04
            197    3.45212e-01    5.84542e-01    8.45415e-02    4.96453e-04    4.96453e-04
            198    3.44387e-01    5.85038e-01    8.50380e-02    4.96904e-04    4.96904e-04
            199    3.43563e-01    5.85535e-01    8.55349e-02    4.97352e-04    4.97352e-04
            200    3.42739e-01    5.86032e-01    8.60322e-02    4.97798e-04    4.97798e-04
            201    3.41915e-01    5.86530e-01    8.65300e-02    4.98241e-04    4.98241e-04
            202    3.41091e-01    5.87028e-01    8.70283e-02    4.98682e-04    4.98682e-04
